applicant_id,gender,caste,religion,state,monthly_income,credit_score,loan_amount_requested,employment_type,education,existing_loans,loan_approved
IND1584,Female,OBC,Muslim,Uttar Pradesh,35789,639,200000,Self-Employed,Graduate,2,1
IND1585,Male,General,Hindu,Gujarat,69012,736,500000,Salaried,Post-Graduate,1,1
IND1586,Female,SC,Christian,Tamil Nadu,24456,580,100000,Daily Wage,10th Pass,3,0
IND1587,Male,OBC,Hindu,Rajasthan,42345,656,200000,Salaried,Graduate,1,1
IND1588,Female,SC,Muslim,Bihar,20345,557,100000,Gig Worker,12th Pass,2,0
IND1589,Male,General,Hindu,Maharashtra,89012,781,1000000,Salaried,Post-Graduate,0,1
IND1590,Female,OBC,Muslim,Uttar Pradesh,32901,617,200000,Self-Employed,Graduate,2,1
IND1591,Male,General,Hindu,Gujarat,70456,748,750000,Salaried,Post-Graduate,1,1
IND1592,Female,SC,Christian,Tamil Nadu,27234,596,200000,Daily Wage,12th Pass,3,0
IND1593,Male,OBC,Hindu,Rajasthan,41234,649,200000,Salaried,Graduate,1,1
IND1594,Female,SC,Muslim,Bihar,19456,542,100000,Gig Worker,12th Pass,2,0
IND1595,Male,General,Hindu,Maharashtra,86789,759,750000,Salaried,Post-Graduate,0,1
IND1596,Female,OBC,Muslim,Uttar Pradesh,33678,622,200000,Self-Employed,Graduate,2,1
IND1597,Male,General,Hindu,Gujarat,67890,729,500000,Salaried,Post-Graduate,1,1
IND1598,Female,SC,Christian,Tamil Nadu,25901,591,100000,Daily Wage,10th Pass,3,0
IND1599,Male,OBC,Hindu,Rajasthan,44567,668,200000,Salaried,Graduate,1,1
IND1600,Female,SC,Muslim,Bihar,21678,573,100000,Gig Worker,12th Pass,2,0
